7707,5717,3,12,0,5303
3213,2300,10,11,0,15743
8502,2887,28,11,0,41621
5260,974,5,11,0,8329
2113,1422,26,11,0,38552
354,6092,10,13,0,15414
5931,5298,6,32,0,9305
929,549,17,11,0,25703
4170,9900,7,14,0,10685
2366,3004,11,14,0,16609
9872,736,29,11,0,42746
5922,10028,4,13,0,7102
2451,507,21,11,0,31113
7950,8489,1,11,0,2462
7197,5368,16,13,0,24252
1395,5740,3,13,0,5434
2417,5263,5,23,0,8176
2207,2711,26,47,0,38314
3632,6091,26,11,0,38347
4301,8036,21,11,0,31104
9553,6914,6,14,0,9386
2083,6173,0,11,0,1040
3007,6359,20,14,0,30061
3092,2637,14,14,0,21319
546,9375,15,11,0,23010
7608,7017,4,14,0,6461
3912,6311,19,11,0,28488
4284,124,21,11,0,30384
4893,509,4,11,0,6389
7673,5606,22,11,0,32623
7458,6934,28,11,0,40996
1976,1584,26,11,0,38615
5023,6420,4,32,0,6601
8047,8167,2,14,0,4007
1230,7155,0,32,0,768
327,5379,12,13,0,18487
1290,1914,5,14,0,7934
4328,839,7,11,0,10959
3892,3213,16,11,0,24409
637,5836,25,11,0,37174
5673,5740,12,13,0,18451
6546,9374,24,11,0,35570
2483,9562,10,14,0,15697
1732,9156,1,14,0,2231
7409,5813,16,11,0,24309
7273,5855,5,14,0,8033
4604,881,10,11,0,15554
3632,861,1,11,0,2495
3467,1428,3,11,0,5292
7950,8001,4,11,0,6810
6098,10097,0,12,0,1421
6719,7294,24,14,0,35704
7197,974,5,11,0,7691
1177,8246,12,32,0,18232
8367,776,4,11,0,6537
612,8671,14,11,0,20711
3851,5456,0,11,0,678
8088,7971,10,13,0,15685
637,1165,14,11,0,20772
5137,4609,24,11,0,35910
5114,5021,17,13,0,25108
7950,8306,7,13,0,10938
1022,10324,5,32,0,8290
9143,8440,0,15,0,608
5705,8123,14,14,0,21138
2410,3809,0,32,0,991
5673,724,29,13,0,42606
786,9558,8,14,0,12654
5772,8798,9,14,0,13888
5047,4417,22,11,0,31831
5475,7869,2,47,0,3977
2113,2860,14,11,0,20791
3144,2358,1,47,0,2438
2291,9477,1,15,0,2489
2726,9761,16,11,0,24346
4672,676,21,11,0,31468
7481,5813,17,11,0,25719
6497,1369,1,13,0,2715
7950,5914,2,11,0,2920
5915,4241,10,13,0,15646
4526,5089,5,15,0,8358
4638,6986,28,11,0,41609
1075,10235,10,14,0,14522
6619,9471,4,15,0,6268
8510,5594,24,11,0,35637
5948,6298,6,11,0,9608
3912,4132,20,11,0,29904
2142,2851,15,11,0,22338
3912,1100,14,11,0,21456
1060,10344,1,32,0,2589
2451,433,21,11,0,31058
9534,5907,19,11,0,28029
5948,9106,29,11,0,42829
2142,7325,29,11,0,43003
2740,1448,25,11,0,37424
5992,6663,2,23,0,3447
5942,7375,10,11,0,15263
5613,7562,16,13,0,24264
5260,7692,25,11,0,37367
6025,3211,15,11,0,22564
6340,3039,13,14,0,19992
6224,8966,6,14,0,9473
7197,5527,14,11,0,21435
5497,7894,1,32,0,2526
6098,6931,0,12,0,1389
2304,6732,28,15,0,40735
7197,5740,14,13,0,21404
9882,2511,11,11,0,16673
2617,7504,27,47,0,39853
3693,9139,14,14,0,20171
7686,9183,17,11,0,24928
4672,733,22,11,0,31721
9361,5632,5,47,0,8597
4269,6457,28,11,0,40664
546,9375,7,11,0,11263
9881,1318,5,32,0,8064
4140,463,18,45,0,27336
7596,4341,27,11,0,40141
8382,9654,24,11,0,35873
8705,8408,16,14,0,23304
1866,3342,11,11,0,17206
4145,106,0,11,0,1028
3728,7276,1,12,0,2298
6279,5609,20,11,0,29987
6322,5813,14,11,0,21516
8746,8671,11,11,0,17059
7743,8729,17,11,0,25803
7481,292,27,11,0,39881
8245,4011,16,11,0,24191
2113,2619,0,13,0,1077
6511,7375,3,11,0,4324
3535,3657,29,11,0,42722
839,8098,11,11,0,16596
8382,1780,29,11,0,42272
973,8306,3,13,0,5583
8706,3944,25,11,0,36459
6560,5896,4,13,0,5954
3525,7210,5,13,0,8423
8458,6359,0,14,0,940
5688,8546,18,47,0,26716
2694,7826,5,14,0,7227
1429,2500,0,11,0,928
786,1905,2,14,0,2938
4073,1576,27,11,0,39593
4330,3218,11,35,0,16505
7500,6359,16,14,0,23833
5157,5639,15,47,0,22310
7458,9260,26,47,0,38603
7743,7119,13,14,0,20025
9314,4360,6,11,0,9189
1692,10235,0,14,0,743
744,10159,2,11,0,3670
3717,6813,4,1,0,7075
8398,8632,16,13,0,23664
2761,7693,21,11,0,30871
969,6639,26,11,0,38541
5815,9010,20,11,0,29814
3304,4646,7,13,0,10990
9534,6702,24,11,0,35339
3632,2036,1,11,0,2462
4362,1340,12,11,0,17306
1281,10228,2,15,0,3823
1545,4630,5,13,0,8585
1692,1967,22,14,0,32478
1843,2712,11,47,0,16928
7950,1573,4,11,0,6919
